Time(sec),CH1,CH2,CH3,CH4,Wavelength
0.199998,1,0,0,0,1524.22429
0.399996,1,0,0,0,1524.2224
0.599994,1,0,0,0,1524.2224
0.799992,1,0,0,0,1524.2224
0.99999,1,0,0,0,1524.22051
1.199988,1,0,0,0,1524.2224
1.399986,1,0,0,0,1524.22278
1.599983,1,0,0,0,1524.2224
1.799981,1,0,0,0,1524.2224
1.999979,1,0,0,0,1524.22429
2.199977,1,0,0,0,1524.22467
2.399975,1,0,0,0,1524.22051
2.599973,1,0,0,0,1524.22278
2.799971,1,0,0,0,1524.22467
2.999969,1,0,0,0,1524.22203
3.199967,1,0,0,0,1524.22108
3.399965,1,0,0,0,1524.22203
3.599963,1,0,0,0,1524.22429
3.799961,1,0,0,0,1524.22278
3.999959,1,0,0,0,1524.22278
4.199956,1,0,0,0,1524.22467
4.399954,1,0,0,0,1524.22618
4.599952,1,0,0,0,1524.2275
4.79995,1,0,0,0,1524.22278
4.999948,1,0,0,0,1524.22278
5.199946,1,0,0,0,1524.22051
5.399944,1,0,0,0,1524.22561
5.599942,1,0,0,0,1524.22467
5.79994,1,0,0,0,1524.22429
5.999938,1,0,0,0,1524.22108
6.199936,1,0,0,0,1524.2224
6.399934,1,0,0,0,1524.22051
6.599932,1,0,0,0,1524.22202
6.79993,1,0,0,0,1524.22051
6.999928,1,0,0,0,1524.2224
7.199925,1,0,0,0,1524.2224
7.399923,1,0,0,0,1524.22013
7.599921,1,0,0,0,1524.22051
7.799919,1,0,0,0,1524.21825
7.999917,1,0,0,0,1524.22051
8.199915,1,0,0,0,1524.2173
8.399913,1,0,0,0,1524.22051
8.599911,1,0,0,0,1524.21692
8.799909,1,0,0,0,1524.21919
8.999907,1,0,0,0,1524.2173
9.199905,1,0,0,0,1524.2173
9.399903,1,0,0,0,1524.21881
9.5999,1,0,0,0,1524.21787
9.799899,1,0,0,0,1524.21731
9.999896,1,0,0,0,1524.21731
10.199894,1,0,0,0,1524.21561
10.399892,1,0,0,0,1524.21504
10.59989,1,0,0,0,1524.21655
10.799888,1,0,0,0,1524.21504
10.999886,1,0,0,0,1524.21825
11.199884,1,0,0,0,1524.21693
11.399882,1,0,0,0,1524.2156
11.59988,1,0,0,0,1524.21655
11.799878,1,0,0,0,1524.21693
11.999876,1,0,0,0,1524.21334
12.199874,1,0,0,0,1524.21561
12.399872,1,0,0,0,1524.21598
12.599869,1,0,0,0,1524.21428
12.799867,1,0,0,0,1524.21504
12.999865,1,0,0,0,1524.21561
13.199863,1,0,0,0,1524.21334
13.399861,1,0,0,0,1524.21334
13.599859,1,0,0,0,1524.21183
13.799857,1,0,0,0,1524.21372
13.999855,1,0,0,0,1524.21599
14.199853,1,0,0,0,1524.21467
14.399851,1,0,0,0,1524.21504
14.599849,1,0,0,0,1524.21561
14.799846,1,0,0,0,1524.2124
14.999844,1,0,0,0,1524.21429
15.199842,1,0,0,0,1524.21334
15.39984,1,0,0,0,1524.21183
15.599838,1,0,0,0,1524.21334
15.799836,1,0,0,0,1524.21334
15.999834,1,0,0,0,1524.21334
16.199832,1,0,0,0,1524.21504
16.39983,1,0,0,0,1524.21334
16.599828,1,0,0,0,1524.21655
16.799826,1,0,0,0,1524.21561
16.999824,1,0,0,0,1524.21183
17.199822,1,0,0,0,1524.21334
17.39982,1,0,0,0,1524.21372
17.599818,1,0,0,0,1524.21504
17.799815,1,0,0,0,1524.21504
17.999813,1,0,0,0,1524.21504
18.199811,1,0,0,0,1524.21145
18.399809,1,0,0,0,1524.21504
18.599807,1,0,0,0,1524.21466
18.799805,1,0,0,0,1524.21372
18.999803,1,0,0,0,1524.21145
19.199801,1,0,0,0,1524.21655
19.399799,1,0,0,0,1524.21504
19.599797,1,0,0,0,1524.2156
19.799795,1,0,0,0,1524.21598
19.999793,1,0,0,0,1524.21504
20.19979,1,0,0,0,1524.21334
20.399788,1,0,0,0,1524.21429
20.599787,1,0,0,0,1524.21372
20.799784,1,0,0,0,1524.21334
20.999782,1,0,0,0,1524.21693
21.19978,1,0,0,0,1524.2192
21.399778,1,0,0,0,1524.21372
21.599776,1,0,0,0,1524.21372
21.799774,1,0,0,0,1524.21429
21.999772,1,0,0,0,1524.21504
22.19977,1,0,0,0,1524.21429
22.399768,1,0,0,0,1524.21561
22.599766,1,0,0,0,1524.21372
22.799763,1,0,0,0,1524.21561
22.999761,1,0,0,0,1524.21504
23.199759,1,0,0,0,1524.21561
23.399757,1,0,0,0,1524.21466
23.599755,1,0,0,0,1524.21504
23.799753,1,0,0,0,1524.21561
23.999751,1,0,0,0,1524.21561
24.199749,1,0,0,0,1524.21599
