Time(sec),CH1,CH2,CH3,CH4,Wavelength
0.199998,1,0,0,0,1524.60998
0.399996,1,0,0,0,1524.60847
0.599994,1,0,0,0,1524.60809
0.799991,1,0,0,0,1524.60809
0.999989,1,0,0,0,1524.60998
1.199987,1,0,0,0,1524.60998
1.399985,1,0,0,0,1524.60809
1.599983,1,0,0,0,1524.60903
1.799981,1,0,0,0,1524.6062
1.999979,1,0,0,0,1524.60846
2.199976,1,0,0,0,1524.60998
2.399975,1,0,0,0,1524.60998
2.599972,1,0,0,0,1524.6062
2.79997,1,0,0,0,1524.60998
2.999968,1,0,0,0,1524.60998
3.199966,1,0,0,0,1524.60846
3.399964,1,0,0,0,1524.60808
3.599961,1,0,0,0,1524.60846
3.79996,1,0,0,0,1524.60487
3.999957,1,0,0,0,1524.60846
4.199955,1,0,0,0,1524.61035
4.399953,1,0,0,0,1524.60808
4.599951,1,0,0,0,1524.60846
4.799948,1,0,0,0,1524.60846
4.999947,1,0,0,0,1524.60808
5.199944,1,0,0,0,1524.60714
5.399942,1,0,0,0,1524.60808
5.599941,1,0,0,0,1524.60808
5.799938,1,0,0,0,1524.60619
5.999936,1,0,0,0,1524.60997
6.199934,1,0,0,0,1524.60676
6.399931,1,0,0,0,1524.60846
6.599929,1,0,0,0,1524.60997
6.799927,1,0,0,0,1524.60846
6.999925,1,0,0,0,1524.60997
7.199923,1,0,0,0,1524.60619
7.399921,1,0,0,0,1524.60997
7.599919,1,0,0,0,1524.60808
7.799917,1,0,0,0,1524.60941
7.999914,1,0,0,0,1524.60676
8.199912,1,0,0,0,1524.60997
8.39991,1,0,0,0,1524.60525
8.599908,1,0,0,0,1524.60619
8.799906,1,0,0,0,1524.61035
8.999904,1,0,0,0,1524.61035
9.199902,1,0,0,0,1524.60997
9.399899,1,0,0,0,1524.60941
9.599897,1,0,0,0,1524.60808
9.799895,1,0,0,0,1524.60808
9.999893,1,0,0,0,1524.60808
10.199891,1,0,0,0,1524.60619
10.399889,1,0,0,0,1524.60676
10.599887,1,0,0,0,1524.60808
10.799884,1,0,0,0,1524.60997
10.999882,1,0,0,0,1524.60808
11.19988,1,0,0,0,1524.60846
11.399878,1,0,0,0,1524.6094
11.599876,1,0,0,0,1524.60808
11.799874,1,0,0,0,1524.60997
11.999871,1,0,0,0,1524.60997
12.199869,1,0,0,0,1524.60997
12.399867,1,0,0,0,1524.60808
12.599865,1,0,0,0,1524.60846
12.799863,1,0,0,0,1524.60846
12.999861,1,0,0,0,1524.60676
13.199859,1,0,0,0,1524.60808
13.399857,1,0,0,0,1524.60808
13.599854,1,0,0,0,1524.60997
13.799852,1,0,0,0,1524.60808
13.99985,1,0,0,0,1524.60808
14.199848,1,0,0,0,1524.60808
14.399846,1,0,0,0,1524.60997
14.599844,1,0,0,0,1524.60845
14.799841,1,0,0,0,1524.60997
14.999839,1,0,0,0,1524.60808
15.199837,1,0,0,0,1524.60619
15.399835,1,0,0,0,1524.60845
15.599833,1,0,0,0,1524.60845
15.799831,1,0,0,0,1524.61034
15.999829,1,0,0,0,1524.60807
16.199826,1,0,0,0,1524.60845
16.399824,1,0,0,0,1524.60845
16.599822,1,0,0,0,1524.60845
16.79982,1,0,0,0,1524.60807
16.999818,1,0,0,0,1524.60675
17.199816,1,0,0,0,1524.60807
17.399814,1,0,0,0,1524.60845
17.599812,1,0,0,0,1524.60675
17.799809,1,0,0,0,1524.60807
17.999807,1,0,0,0,1524.60997
18.199805,1,0,0,0,1524.60486
18.399803,1,0,0,0,1524.60675
18.599801,1,0,0,0,1524.60618
18.799799,1,0,0,0,1524.60675
18.999797,1,0,0,0,1524.60996
19.199795,1,0,0,0,1524.60807
19.399792,1,0,0,0,1524.60996
19.59979,1,0,0,0,1524.60807
19.799788,1,0,0,0,1524.61034
19.999786,1,0,0,0,1524.60845
20.199784,1,0,0,0,1524.60807
20.399782,1,0,0,0,1524.60845
20.59978,1,0,0,0,1524.60751
20.799777,1,0,0,0,1524.60675
20.999775,1,0,0,0,1524.60845
21.199773,1,0,0,0,1524.60675
21.399771,1,0,0,0,1524.61034
21.599769,1,0,0,0,1524.60618
21.799767,1,0,0,0,1524.60807
21.999765,1,0,0,0,1524.6075
22.199762,1,0,0,0,1524.60807
22.39976,1,0,0,0,1524.61034
22.599758,1,0,0,0,1524.60618
22.799756,1,0,0,0,1524.60845
22.999756,1,0,0,0,1524.60845
23.199752,1,0,0,0,1524.60675
23.39975,1,0,0,0,1524.60845
23.599747,1,0,0,0,1524.60845
23.799745,1,0,0,0,1524.60807
23.999743,1,0,0,0,1524.61034
24.199741,1,0,0,0,1524.60939
24.399739,1,0,0,0,1524.60996
24.599737,1,0,0,0,1524.60675
24.799734,1,0,0,0,1524.60845
24.999732,1,0,0,0,1524.60939
25.19973,1,0,0,0,1524.6075
25.399728,1,0,0,0,1524.60845
25.599726,1,0,0,0,1524.61033
25.799724,1,0,0,0,1524.60845
25.999722,1,0,0,0,1524.60807
26.199719,1,0,0,0,1524.60996
26.399717,1,0,0,0,1524.60845
26.599715,1,0,0,0,1524.61033
26.799713,1,0,0,0,1524.60618
26.999711,1,0,0,0,1524.60807
27.199709,1,0,0,0,1524.60996
27.399707,1,0,0,0,1524.60996
27.599705,1,0,0,0,1524.60674
27.799702,1,0,0,0,1524.60845
27.9997,1,0,0,0,1524.60674
28.199698,1,0,0,0,1524.60807
28.399696,1,0,0,0,1524.60712
28.599694,1,0,0,0,1524.60845
28.799692,1,0,0,0,1524.60996
28.99969,1,0,0,0,1524.60844
29.199687,1,0,0,0,1524.60806
