Time(sec),CH1,CH2,CH3,CH4,Wavelength
0.199997,1,0,0,0,1523.66538
0.399995,1,0,0,0,1523.66349
0.599993,1,0,0,0,1523.66349
0.799991,1,0,0,0,1523.66726
0.999989,1,0,0,0,1523.66726
1.199987,1,0,0,0,1523.66368
1.399985,1,0,0,0,1523.66368
1.599983,1,0,0,0,1523.66368
1.799981,1,0,0,0,1523.66368
1.999979,1,0,0,0,1523.66368
2.199977,1,0,0,0,1523.66349
2.399974,1,0,0,0,1523.66726
2.599972,1,0,0,0,1523.66556
2.79997,1,0,0,0,1523.66537
2.999968,1,0,0,0,1523.66537
3.199966,1,0,0,0,1523.66537
3.399964,1,0,0,0,1523.66556
3.599962,1,0,0,0,1523.66367
3.79996,1,0,0,0,1523.66556
3.999958,1,0,0,0,1523.66556
4.199956,1,0,0,0,1523.66367
4.399954,1,0,0,0,1523.66537
4.599951,1,0,0,0,1523.66726
4.799949,1,0,0,0,1523.66556
4.999947,1,0,0,0,1523.66556
5.199945,1,0,0,0,1523.66537
5.399943,1,0,0,0,1523.66556
5.599941,1,0,0,0,1523.66367
5.799939,1,0,0,0,1523.66556
5.999937,1,0,0,0,1523.66349
6.199935,1,0,0,0,1523.66349
6.399932,1,0,0,0,1523.66537
6.599931,1,0,0,0,1523.66368
6.799928,1,0,0,0,1523.66537
6.999926,1,0,0,0,1523.66349
7.199924,1,0,0,0,1523.66368
7.399922,1,0,0,0,1523.66556
7.59992,1,0,0,0,1523.66556
7.799918,1,0,0,0,1523.66348
7.999916,1,0,0,0,1523.66367
8.199914,1,0,0,0,1523.66537
8.399912,1,0,0,0,1523.66556
8.59991,1,0,0,0,1523.66556
8.799907,1,0,0,0,1523.66556
8.999905,1,0,0,0,1523.66556
9.199903,1,0,0,0,1523.66367
9.399901,1,0,0,0,1523.66367
9.599899,1,0,0,0,1523.66367
9.799897,1,0,0,0,1523.66556
9.999895,1,0,0,0,1523.66556
10.199893,1,0,0,0,1523.66556
10.399891,1,0,0,0,1523.66367
10.599889,1,0,0,0,1523.66537
10.799886,1,0,0,0,1523.66367
10.999884,1,0,0,0,1523.66556
11.199882,1,0,0,0,1523.66726
11.39988,1,0,0,0,1523.66348
11.599878,1,0,0,0,1523.66556
11.799876,1,0,0,0,1523.66726
11.999874,1,0,0,0,1523.66556
12.199872,1,0,0,0,1523.66556
12.39987,1,0,0,0,1523.66556
12.599868,1,0,0,0,1523.66556
12.799865,1,0,0,0,1523.66537
12.999863,1,0,0,0,1523.66556
13.199861,1,0,0,0,1523.66537
13.399859,1,0,0,0,1523.66367
13.599857,1,0,0,0,1523.66367
13.799855,1,0,0,0,1523.66556
13.999853,1,0,0,0,1523.66726
14.199851,1,0,0,0,1523.66556
14.399849,1,0,0,0,1523.66726
14.599847,1,0,0,0,1523.66537
14.799845,1,0,0,0,1523.66537
14.999843,1,0,0,0,1523.66367
15.19984,1,0,0,0,1523.66367
15.399838,1,0,0,0,1523.66556
15.599836,1,0,0,0,1523.66726
15.799834,1,0,0,0,1523.66556
15.999832,1,0,0,0,1523.66726
16.19983,1,0,0,0,1523.66726
16.399828,1,0,0,0,1523.66726
16.599826,1,0,0,0,1523.66367
16.799824,1,0,0,0,1523.66556
16.999822,1,0,0,0,1523.66537
17.19982,1,0,0,0,1523.66556
17.399817,1,0,0,0,1523.66537
17.599815,1,0,0,0,1523.66178
17.799813,1,0,0,0,1523.66367
17.999811,1,0,0,0,1523.66537
18.199809,1,0,0,0,1523.66537
18.399807,1,0,0,0,1523.66725
18.599805,1,0,0,0,1523.66348
18.799803,1,0,0,0,1523.66556
18.999801,1,0,0,0,1523.66348
19.199799,1,0,0,0,1523.66386
19.399796,1,0,0,0,1523.66537
19.599794,1,0,0,0,1523.66537
19.799792,1,0,0,0,1523.66537
19.99979,1,0,0,0,1523.66537
20.199788,1,0,0,0,1523.66367
20.399786,1,0,0,0,1523.66367
20.599784,1,0,0,0,1523.66367
20.799782,1,0,0,0,1523.66726
20.99978,1,0,0,0,1523.66367
21.199778,1,0,0,0,1523.66537
21.399776,1,0,0,0,1523.66367
21.599773,1,0,0,0,1523.66556
21.799771,1,0,0,0,1523.66367
21.999769,1,0,0,0,1523.66726
22.199767,1,0,0,0,1523.66367
22.399765,1,0,0,0,1523.66367
22.599763,1,0,0,0,1523.66537
22.799761,1,0,0,0,1523.66348
22.999759,1,0,0,0,1523.66348
23.199757,1,0,0,0,1523.66556
23.399755,1,0,0,0,1523.66556
23.599753,1,0,0,0,1523.66348
23.799751,1,0,0,0,1523.66367
23.999748,1,0,0,0,1523.66367
24.199746,1,0,0,0,1523.66348
24.399744,1,0,0,0,1523.66178
24.599742,1,0,0,0,1523.66367
24.79974,1,0,0,0,1523.66178
24.999738,1,0,0,0,1523.66178
25.199736,1,0,0,0,1523.66178
25.399734,1,0,0,0,1523.66367
25.599731,1,0,0,0,1523.66178
25.79973,1,0,0,0,1523.66008
25.999727,1,0,0,0,1523.66367
26.199725,1,0,0,0,1523.66178
26.399723,1,0,0,0,1523.66178
26.599721,1,0,0,0,1523.66178
26.799719,1,0,0,0,1523.66556
26.999717,1,0,0,0,1523.66178
27.199715,1,0,0,0,1523.66367
27.399713,1,0,0,0,1523.66348
27.59971,1,0,0,0,1523.66367
27.799708,1,0,0,0,1523.66367
27.999707,1,0,0,0,1523.66178
28.199704,1,0,0,0,1523.66537
28.399702,1,0,0,0,1523.6599
28.5997,1,0,0,0,1523.66348
28.799698,1,0,0,0,1523.66556
28.999696,1,0,0,0,1523.66367
29.199694,1,0,0,0,1523.66348
29.399692,1,0,0,0,1523.66348
29.59969,1,0,0,0,1523.66178
29.799688,1,0,0,0,1523.6616
29.999686,1,0,0,0,1523.66348
30.199683,1,0,0,0,1523.66178
30.399681,1,0,0,0,1523.66178
30.599679,1,0,0,0,1523.66178
30.799677,1,0,0,0,1523.6616
30.999675,1,0,0,0,1523.66178
31.199673,1,0,0,0,1523.66009
31.399671,1,0,0,0,1523.66179
31.599669,1,0,0,0,1523.6599
31.799667,1,0,0,0,1523.66179
31.999665,1,0,0,0,1523.66179
32.199662,1,0,0,0,1523.66179
32.39966,1,0,0,0,1523.66179
32.599658,1,0,0,0,1523.66368
32.799656,1,0,0,0,1523.66368
32.999654,1,0,0,0,1523.66179
33.199652,1,0,0,0,1523.6599
33.39965,1,0,0,0,1523.66179
33.599648,1,0,0,0,1523.6599
33.799646,1,0,0,0,1523.6599
33.999644,1,0,0,0,1523.66179
34.199641,1,0,0,0,1523.66179
34.39964,1,0,0,0,1523.66179
34.599637,1,0,0,0,1523.66179
34.799635,1,0,0,0,1523.66368
34.999633,1,0,0,0,1523.66179
35.199631,1,0,0,0,1523.66179
35.399629,1,0,0,0,1523.66538
35.599627,1,0,0,0,1523.66179
35.799625,1,0,0,0,1523.66179
35.999623,1,0,0,0,1523.6599
36.199621,1,0,0,0,1523.6582
36.399619,1,0,0,0,1523.6599
36.599617,1,0,0,0,1523.6599
36.799614,1,0,0,0,1523.66179
36.999612,1,0,0,0,1523.66179
37.19961,1,0,0,0,1523.6599
37.399608,1,0,0,0,1523.6616
37.599606,1,0,0,0,1523.66179
37.799604,1,0,0,0,1523.66179
37.999602,1,0,0,0,1523.66179
38.1996,1,0,0,0,1523.66179
38.399598,1,0,0,0,1523.66349
38.599596,1,0,0,0,1523.66179
38.799593,1,0,0,0,1523.66349
38.999591,1,0,0,0,1523.66349
39.199589,1,0,0,0,1523.66179
39.399587,1,0,0,0,1523.6599
39.599585,1,0,0,0,1523.6599
39.799583,1,0,0,0,1523.66179
39.999581,1,0,0,0,1523.66179
40.199579,1,0,0,0,1523.66368
40.399577,1,0,0,0,1523.66179
40.599575,1,0,0,0,1523.66179
40.799572,1,0,0,0,1523.6599
40.99957,1,0,0,0,1523.66179
41.199568,1,0,0,0,1523.66179
41.399566,1,0,0,0,1523.66009
41.599564,1,0,0,0,1523.6599
41.799562,1,0,0,0,1523.66179
41.99956,1,0,0,0,1523.66179
42.199558,1,0,0,0,1523.66179
42.399556,1,0,0,0,1523.6599
42.599554,1,0,0,0,1523.66349
42.799552,1,0,0,0,1523.6599
42.999549,1,0,0,0,1523.6599
43.199547,1,0,0,0,1523.6599
43.399545,1,0,0,0,1523.6599
43.599543,1,0,0,0,1523.6599
43.799541,1,0,0,0,1523.66179
43.999539,1,0,0,0,1523.66368
44.199537,1,0,0,0,1523.6599
44.399535,1,0,0,0,1523.66179
44.599533,1,0,0,0,1523.66179
44.799531,1,0,0,0,1523.66179
44.999528,1,0,0,0,1523.66179
45.199527,1,0,0,0,1523.66179
